what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1329729286109
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1329729286125
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1329729286125
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1329729286125
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1329729286140
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1329729286140
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1329729286140
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1329729286140
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1329729286140
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1329729286156
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1329729286156
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1329729286156
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1329729286156
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1329729286187
os,sysinfo,,,"win32",1329729286203
arch,sysinfo,,,"x86",1329729286203
ws,sysinfo,,,"win32",1329729286203
locale,sysinfo,,,"zh_CN",1329729286203
processors,sysinfo,,,"2",1329729286203
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329729286203
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1329729286203
java.specification.name,sysinfo,,,"Java Platform API Specification",1329729286203
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329729286203
java.specification.version,sysinfo,,,"1.6",1329729286203
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1329729286203
java.version,sysinfo,,,"1.6.0_23",1329729286203
java.vm.info,sysinfo,,,"mixed mode",1329729286203
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1329729286203
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329729286203
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329729286203
java.vm.specification.version,sysinfo,,,"1.0",1329729286203
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1329729286203
java.vm.version,sysinfo,,,"19.0-b09",1329729286203
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1329729286234
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1329729286250
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1329729286671
