what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"19.0-b09",1327916649406
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327916652859
started,bundle,com.altera.sbtgui.core,11.1.0.216,"com.altera.sbtgui.core",1327916653281
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1327916653343
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1327916654500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327916654578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327916656718
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1327916656734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1327916656734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327916661343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327916664562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327916671218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327916705953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327916717625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327916724406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327916755062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327916854453
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327916855390
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327916856500
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1327916861515
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1327916861546
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1327916861671
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1327916874140
